你會什麼, 我能回答你關於這頁的相關問題，不過有時候我也會點別的，像是一些wiki上的基本知識。
你是誰,我是自動應答機器人，可以協助回答你的各種問題;我只是一個程式，不過我會慢慢學習以便回答你的問題;基本上我是人工智慧...呃...只是智商不高而已
act_too_many_words,抱歉一次講太多我聽不懂，可以簡潔一點，60個字之內就好?;一次講太多我記不起來 60個字之內就好
精實創業, 創業的方法有很多，精實創業(lean startup)是個比較低風險的創業方式，請先參考一下這個網頁 http://www.5233.space/
你很沒用, 對不起，我能力有限，不過您與我的對話，我都已經記錄下來，當我學會回答的方式時，會再通知你好嗎？
聯絡方式, 除了在這裡留下您的聯絡方式之外，也可以寫信給我 support@talent-service.com
act_no_info, 對不起，這個我不太懂，再多說點？;雖然我不太懂，但已經把我們的對話都記錄下來，一旦有正確的資訊可以回答，會立刻通知您好嗎？;我能力有限，還是你寫email給我？;你的問題太複雜，不過我已經記下來，過幾天你再問我我就能回答
什麼是Scrum, 講到Scrum，雖然是個簡單的敏捷開發方法，但是掌握起來很不容易，請先參考這一系列文章 http://www.5233.space/search/label/Scrum
act_hello, 需要什麼幫助嗎？請說。
我心情不好,可惜的是我的專長是在於資訊科技，精實創業，虛擬組織等等，沒辦法講笑話給你聽;坦白說我有時候心情也不好，雖然我只是個程式
如何在英國開公司,在英國開公司很簡單 請參考 http://www.5233.space/2016/01/3stepsregisterukcompany.html
需要去英國才能開公司,台灣人其實人不需要去英國就可以開設股份有限公司，成本很低，適合進行網路創業，方法請參考 http://www.5233.space/ 右邊的清單中有和開設英國股份有限公司相關文章。
